ot_888	https://tree.opentreeoflife.org/curator/study/view/ot_888	Zhang, Shuxia, Lan Yang, Xiaojun Yang, Junxing Yang. 2007. Molecular phylogeny of the yuhinas (Sylviidae: Yuhina): a paraphyletic group of babblers including Zosterops and Philippine Stachyris. Journal of Ornithology 148 (4): 417-426	http://dx.doi.org/10.1007/s10336-007-0150-4	
ot_882	https://tree.opentreeoflife.org/curator/study/view/ot_882	Zink, Robert M., Rachelle C. Blackwell. 1998. Molecular systematics and biogeography of aridland gnatcatchers (genus Polioptila) and evidence supporting species status of the California gnatcatcher (Polioptila californica). Molecular Phylogenetics and Evolution 9 (1): 26-32	http://dx.doi.org/10.1006/mpev.1997.0444	
ot_883	https://tree.opentreeoflife.org/curator/study/view/ot_883	Zink, Robert M., Rachelle C. Blackwell. 1998. Molecular systematics of the scaled quail complex (genus Callipepla). The Auk 115 (2): 394-403	http://www.jstor.org/stable/4089198	
ot_880	https://tree.opentreeoflife.org/curator/study/view/ot_880	Zink, Robert M., Donna L. Dittmann, John Klicka, Rachelle C. Blackwell-Rago. 1999. Evolutionary patterns of morphometrics, allozymes, and mitochondrial DNA in thrashers (genus Toxostoma). The Auk 116 (4): 1021-1038	http://www.jstor.org/stable/4089682	
ot_881	https://tree.opentreeoflife.org/curator/study/view/ot_881	Zink, Robert M., Rachelle C. Blackwell. 1996. Patterns of allozyme, mitochondrial DNA, and morphometric variation in four sparrow genera. The Auk 113 (1): 59-67	http://www.jstor.org/stable/4088935	
ot_886	https://tree.opentreeoflife.org/curator/study/view/ot_886	Zink, Robert M., Donna L. Dittmann, William L. Rootes. 1991. Mitochondrial DNA variation and the phylogeny of Zonotrichia. The Auk 108 (3): 578-584	http://www.jstor.org/stable/4088098	
ot_887	https://tree.opentreeoflife.org/curator/study/view/ot_887	Zimmer, Régis, Bernardo Erdtmann, W.Kelley Thomas, Thomas W. Quinn. 1994. Phylogenetic analysis of the Coscoroba coscoroba using mitochondrial srRNA gene sequences. Molecular Phylogenetics and Evolution, vol. 3, no. 2, pp. 85-91	http://dx.doi.org/10.1006/mpev.1994.1011	
ot_884	https://tree.opentreeoflife.org/curator/study/view/ot_884	Zink, Robert M., John C. Avise. 1990. Patterns of mitochondrial DNA and allozyme evolution in the avian genus Ammodramus. Systematic Zoology 39 (2): 148-161	http://dx.doi.org/10.2307/2992452	
ot_885	https://tree.opentreeoflife.org/curator/study/view/ot_885	Zink, Robert M. 1982. Patterns of genic and morphologic variation among sparrows in the genera Zonotrichia, Melospiza, Junco, and Passerella. The Auk 99 (4): 632-649	http://www.jstor.org/stable/4086168	
ot_877	https://tree.opentreeoflife.org/curator/study/view/ot_877	Zink, Robert M., Susan J. Weller, Rachelle C. Blackwell. 1998. Molecular phylogenetics of the avian genus Pipilo and a biogeographic argument for taxonomic uncertainty. Molecular Phylogenetics and Evolution 10 (2): 191-201	http://dx.doi.org/10.1006/mpev.1998.0526	
ot_876	https://tree.opentreeoflife.org/curator/study/view/ot_876	Zink, Robert M., Ned K. Johnson. 1984. Evolutionary genetics of flycatchers. I. sibling species in the genera Empidonax and Contopus. Systematic Biology 33 (2): 205-216	http://dx.doi.org/10.1093/sysbio/33.2.205	
ot_875	https://tree.opentreeoflife.org/curator/study/view/ot_875	Zyskowski, Krzysztof, Richard O. Prum. 1999. Phylogenetic Analysis of the Nest Architecture of Neotropical Ovenbirds (Furnariidae). The Auk 116 (4); 891-911	http://dx.doi.org/10.2307/4089670	
